qid,has_passage,top_score
test_0001,1,-1
test_0002,0,0.7255
test_0003,1,-1
test_0004,1,-1
test_0005,1,-1
test_0006,0,0.5908
test_0007,0,0.6711
test_0008,0,0.7083
test_0009,0,0.5708
test_0010,0,0.6309
test_0011,1,-1
test_0012,0,0.5806
test_0013,0,0.5628
test_0014,1,-1
test_0015,0,0.5759
test_0016,0,0.6136
test_0017,1,-1
test_0018,0,0.6734
test_0019,0,0.5614
test_0020,0,0.6850
test_0021,0,0.6118
test_0022,0,0.6767
test_0023,1,-1
test_0024,0,0.6062
test_0025,0,0.5619
test_0026,0,0.7344
test_0027,1,-1
test_0028,1,-1
test_0029,0,0.6079
test_0030,0,0.5650
test_0031,0,0.6053
test_0032,1,-1
test_0033,0,0.5777
test_0034,0,0.6793
test_0035,0,0.6305
test_0036,0,0.5850
test_0037,0,0.6320
test_0038,0,0.6388
test_0039,1,-1
test_0040,1,-1
test_0041,0,0.6390
test_0042,0,0.6178
test_0043,0,0.6145
test_0044,0,0.6363
test_0045,1,-1
test_0046,0,0.5995
test_0047,1,-1
test_0048,0,0.6453
test_0049,1,-1
test_0050,0,0.6821
test_0051,0,0.6128
test_0052,1,-1
test_0053,1,-1
test_0054,0,0.6457
test_0055,0,0.7108
test_0056,0,0.6522
test_0057,1,-1
test_0058,0,0.6887
test_0059,0,0.6257
test_0060,0,0.6330
test_0061,0,0.5925
test_0062,0,0.6506
test_0063,0,0.7089
test_0064,1,-1
test_0065,0,0.6929
test_0066,0,0.5546
test_0067,0,0.6858
test_0068,0,0.6000
test_0069,0,0.5948
test_0070,0,0.5559
test_0071,1,-1
test_0072,0,0.7360
test_0073,0,0.6372
test_0074,0,0.5781
test_0075,0,0.6241
test_0076,0,0.6611
test_0077,0,0.6173
test_0078,0,0.6206
test_0079,0,0.6244
test_0080,0,0.6190
test_0081,0,0.6886
test_0082,0,0.6326
test_0083,0,0.6079
test_0084,0,0.5769
test_0085,0,0.6657
test_0086,0,0.6377
test_0087,0,0.6365
test_0088,0,0.6472
test_0089,0,0.5628
test_0090,1,-1
test_0091,1,-1
test_0092,0,0.6523
test_0093,0,0.6743
test_0094,1,-1
test_0095,1,-1
test_0096,0,0.6728
test_0097,0,0.6209
test_0098,0,0.6139
test_0099,0,0.6916
test_0100,0,0.5276
test_0101,0,0.6435
test_0102,0,0.6400
test_0103,0,0.6970
test_0104,1,-1
test_0105,0,0.6258
test_0106,0,0.7114
test_0107,1,-1
test_0108,0,0.6722
test_0109,0,0.5179
test_0110,0,0.6840
test_0111,0,0.7120
test_0112,0,0.5700
test_0113,1,-1
test_0114,0,0.7305
test_0115,0,0.6118
test_0116,0,0.4843
test_0117,1,-1
test_0118,0,0.6384
test_0119,1,-1
test_0120,0,0.6224
test_0121,0,0.5857
test_0122,0,0.6342
test_0123,0,0.6937
test_0124,0,0.5712
test_0125,0,0.6097
test_0126,1,-1
test_0127,0,0.5886
test_0128,0,0.6494
test_0129,0,0.6109
test_0130,1,-1
test_0131,0,0.6803
test_0132,0,0.6115
test_0133,0,0.5038
test_0134,0,0.6913
test_0135,0,0.5501
test_0136,0,0.6085
test_0137,0,0.6919
test_0138,1,-1
test_0139,0,0.6804
test_0140,0,0.7296
test_0141,1,-1
test_0142,0,0.6343
test_0143,0,0.6695
test_0144,0,0.6049
test_0145,0,0.6644
test_0146,0,0.6251
test_0147,1,-1
test_0148,0,0.7203
test_0149,1,-1
test_0150,0,0.6504
test_0151,0,0.5287
test_0152,0,0.6244
test_0153,0,0.6953
test_0154,0,0.8114
test_0155,0,0.7317
